,setting,clusterCoef,lambda,mu,sigma,a,b,c
0,10000_2_0.0,0.0042615820810338895,0.62,-0.0,0.0,-0.8423604972615587,0.014097727153697524,0.8828348251382552
1,10000_2_0.1,0.07865517438791521,1.85,-0.0,0.0,1.3652416042036715,0.04913093173626406,0.931378936938805
2,10000_2_0.2,0.1516092863463491,0.74,-0.0,0.0,1.2312122046992062,0.08550550932013534,0.8914447720359532
3,10000_2_0.30000000000000004,0.23027634262694896,0.93,-0.0,0.0,1.3928764127116564,0.1480426868441706,0.8588025091862315
4,10000_2_0.4,0.2980477210779431,0.67,-0.0,0.0,1.3950176778068346,0.20557191048265896,0.8232874049403254
5,10000_2_0.5,0.368339568507499,0.6,0.09,0.42,1.3112081339822397,0.2469173016297154,0.7918394971733861
6,10000_2_0.6000000000000001,0.44321434699468454,0.56,0.3,0.51,1.0347509959240642,0.23373971640947777,0.76574659100344
7,10000_2_0.7000000000000001,0.519252651703976,0.55,0.46,0.51,1.1987180773618087,0.32538077018270833,0.7370706610928995
8,10000_2_0.8,0.5959653726870452,0.5,0.55,0.48,1.153710461241857,0.3451274461745984,0.7194227288615276
9,10000_3_0.0,0.0058902368618145625,0.37,-0.0,0.0,-0.08563336211916427,0.039288533284239965,0.8525730772972914
10,10000_3_0.1,0.05807203604259929,0.66,-0.0,0.0,1.9620265019911005,0.20749807912346874,0.8632988709110799
11,10000_3_0.2,0.10787715130640634,0.65,-0.0,0.0,1.6898687320071257,0.26237594201399245,0.821987605286576
12,10000_3_0.30000000000000004,0.16058512841491376,0.49,-0.0,0.0,1.8798572338599149,0.5388066053109611,0.7486836460345375
13,10000_3_0.4,0.2141406798628942,0.49,0.22,0.5,1.7969064664216647,0.7437469682566208,0.6859201572817951
14,10000_3_0.5,0.26532116149825347,0.43,0.41,0.6,1.6801214391269865,0.9398959920639818,0.6220806962717064
15,10000_3_0.6000000000000001,0.3288402531154194,0.38,0.63,0.69,1.7359764542762808,1.3571571488739944,0.5546764654186461
16,10000_3_0.7000000000000001,0.3859466155899902,0.35,0.86,0.8,1.7420543965888298,1.7868060702725541,0.49498707578352796
17,10000_3_0.8,0.45240141883624035,0.31,0.99,0.84,1.8937945328392927,2.699265719155699,0.4333497668581637
18,10000_4_0.0,0.006730009432737583,0.22,-0.0,0.0,0.2388878366406986,0.06985594861380255,0.8150258611098324
19,10000_4_0.1,0.045132402545348276,0.43,-0.0,0.0,1.0490161484774014,0.12620716903099058,0.8391094204657048
20,10000_4_0.2,0.08647533079433604,0.52,-0.0,0.0,1.3006518225838246,0.25075340338792773,0.7874001213376176
21,10000_4_0.30000000000000004,0.12690619868787373,0.36,-0.0,0.0,1.2738310127651198,0.4202287816394239,0.704246951198877
22,10000_4_0.4,0.1691586117955252,0.34,0.27,0.53,1.2456594173745261,0.5780851605245664,0.6389714158538596
23,10000_4_0.5,0.21509097654291887,0.28,0.52,0.61,1.0539689065109348,0.6521979536392458,0.5723117933184654
24,10000_4_0.6000000000000001,0.25960019649320565,0.28,0.86,0.78,0.9748432586716708,0.7910850237486017,0.5074290557189718
25,10000_4_0.7000000000000001,0.3076385135293062,0.25,1.12,0.88,0.9140524079503815,0.918835102190305,0.45217029544728216
26,10000_4_0.8,0.3623582927492912,0.23,1.41,1.01,0.8686144604171834,1.12592712171511,0.3854737544198117
27,10000_5_0.0,0.007313669137596663,0.15,-0.01,0.0,0.04725014200228195,0.07579869500206306,0.7747036135736959
28,10000_5_0.1,0.039037927516993934,0.31,-0.0,0.0,0.8952220268155632,0.13610068415363724,0.813501639634453
29,10000_5_0.2,0.07310375630965144,0.25,-0.01,0.0,1.2192781695386876,0.31354608665310196,0.7391538698641131
30,10000_5_0.30000000000000004,0.10729455591463509,0.23,-0.01,0.0,1.1080038635099783,0.4212897375610885,0.6721376047279621
31,10000_5_0.4,0.14125961423324634,0.2,-0.01,0.0,1.002012641397041,0.5088727570922604,0.6125817464147449
32,10000_5_0.5,0.17850412217676068,0.21,0.56,0.63,0.8747543732695604,0.5719308565803822,0.554990181752143
33,10000_5_0.6000000000000001,0.2160510003425448,0.18,0.89,0.78,0.8016366407617325,0.6727129140984474,0.4937582688939251
34,10000_5_0.7000000000000001,0.25354231290222945,0.19,1.38,1.0,0.7265886487828109,0.7401908986792269,0.44420404533459973
35,10000_5_0.8,0.29844752128387675,0.2,1.88,1.19,0.6778037139956724,0.872457151859727,0.3821298693040495
36,10000_6_0.0,0.007510986232721349,0.15,-0.01,0.0,0.2996478985267386,0.10743849520525317,0.7592984556608278
37,10000_6_0.1,0.03731937147086334,0.14,-0.01,0.0,0.7698295673446532,0.1800500379172573,0.7556856148503753
38,10000_6_0.2,0.065462668050091,0.17,-0.01,0.0,1.0254449658654585,0.31777871829448456,0.7055433373523071
39,10000_6_0.30000000000000004,0.09678772165342113,0.13,-0.01,0.0,1.0342870401656625,0.47851477781084123,0.6280620154700863
40,10000_6_0.4,0.12400739500981363,0.18,0.23,0.49,0.9660547599576071,0.5434080117227134,0.5883495810248074
41,10000_6_0.5,0.1523050217543702,0.19,0.69,0.71,0.8780165661331456,0.6157251459160121,0.5363370895904518
42,10000_6_0.6000000000000001,0.18278287734440327,0.18,1.17,0.94,0.7645406104486769,0.65180144021122,0.48822507333770665
43,10000_6_0.7000000000000001,0.21576417891916175,0.17,1.63,1.12,0.6694623173725672,0.7025873636494411,0.4353493681317357
44,10000_6_0.8,0.25326716252249565,0.17,2.21,1.37,0.597731593273679,0.7728163034209649,0.3809266794500891
45,10000_7_0.0,0.008371932162555494,0.12,-0.01,0.0,0.09892054264735248,0.1011896516297755,0.7316517960812657
46,10000_7_0.1,0.032583067180245,0.14,-0.01,0.0,0.8278182954481822,0.20884177633798437,0.7380607624244698
47,10000_7_0.2,0.058672157000978734,0.16,-0.01,0.0,0.9761508254846396,0.3291262925980945,0.6896739168434989
48,10000_7_0.30000000000000004,0.08554309515651572,0.13,-0.01,0.0,0.9171834080992606,0.43366478725818314,0.6235929414965061
49,10000_7_0.4,0.10932624563878948,0.14,0.21,0.47,0.8883832965156178,0.5358405061594734,0.5710255687428644
50,10000_7_0.5,0.13416499104514512,0.16,0.74,0.71,0.8138702851833636,0.6095068396899674,0.5197417241551388
51,10000_7_0.6000000000000001,0.159151522583566,0.15,1.22,0.94,0.7419995685081006,0.6698836726394608,0.4715461278607418
52,10000_7_0.7000000000000001,0.18695031254886016,0.16,1.9,1.27,0.6256669230397209,0.6692532379370502,0.4311714572962739
53,10000_7_0.8,0.22049090495830898,0.14,2.43,1.52,0.5814121745116496,0.7586585029118296,0.37575616970220654
54,10000_8_0.0,0.009321030241396008,0.11,-0.01,0.0,0.1584771176291,0.11913931669715046,0.7117052584443988
55,10000_8_0.1,0.03238628677988033,0.11,-0.01,0.0,0.7145982126512274,0.22221302023549153,0.7072153714625748
56,10000_8_0.2,0.055330629781231655,0.11,-0.01,0.0,0.887288797067549,0.3626009425133364,0.6507780548500072
57,10000_8_0.30000000000000004,0.07971178017627008,0.1,-0.02,0.01,0.9032612293294517,0.4870754487856898,0.5928425749110863
58,10000_8_0.4,0.10086628666423171,0.11,0.22,0.48,0.8422893511714369,0.558867419521444,0.5467968392477695
59,10000_8_0.5,0.12178309986001053,0.12,0.69,0.69,0.8011996814492366,0.6429478647122234,0.5000799323130358
60,10000_8_0.6000000000000001,0.14300945495941833,0.12,1.19,0.9,0.6806555703087893,0.6444310801252379,0.46061745127656084
61,10000_8_0.7000000000000001,0.1645947411736988,0.14,1.96,1.31,0.6295566876482989,0.6850178283555048,0.423407702293049
62,10000_8_0.8,0.19363083539977188,0.13,2.68,1.71,0.5901298875847418,0.7663608680394954,0.3737099458513196
63,10000_9_0.0,0.01043368327141637,0.08,-0.02,0.01,0.28483649011802886,0.1651294526937072,0.6712695612655374
64,10000_9_0.1,0.03063253179862775,0.1,-0.02,0.01,0.6882589490646401,0.24725181313663933,0.6816950608851903
65,10000_9_0.2,0.052414543301410835,0.09,-0.01,0.0,0.8600278632911852,0.38511095844138904,0.6297718772168316
66,10000_9_0.30000000000000004,0.07316616464944585,0.08,-0.03,0.01,0.8552943109539499,0.49829592040733334,0.5739806554373026
67,10000_9_0.4,0.09195478084200322,0.11,0.3,0.51,0.8606783721552255,0.6081814085540753,0.5296735909248443
68,10000_9_0.5,0.10912973714399711,0.12,0.76,0.72,0.7919470093188659,0.6554009131488964,0.49181239189725523
69,10000_9_0.6000000000000001,0.12721400502399477,0.13,1.4,1.01,0.6725689737933115,0.6422806076515405,0.45770685448305265
70,10000_9_0.7000000000000001,0.14920348419601795,0.12,2.0,1.3,0.6078731905764351,0.6827318709825577,0.41460501363856833
71,10000_9_0.8,0.17395342598246274,0.12,2.94,1.85,0.5500009002581768,0.7251942159522129,0.37152587773357626
72,10000_10_0.0,0.011398246439353726,0.07,-0.02,0.01,0.3428421174424117,0.1959219419694296,0.6475282050861705
73,10000_10_0.1,0.02964349454163865,0.09,-0.01,0.0,0.6811369957884912,0.27218037690605346,0.6598446131515491
74,10000_10_0.2,0.04941936848024917,0.08,-0.01,0.0,0.88535644139171,0.44258470723929566,0.6039914684664968
75,10000_10_0.30000000000000004,0.06859421583408494,0.08,-0.01,0.0,0.8668348872629006,0.5462339490359561,0.5535433851243038
76,10000_10_0.4,0.0863444653702859,0.09,0.33,0.52,0.8269413680651102,0.6327766403653738,0.5085324292381945
77,10000_10_0.5,0.1030976034771587,0.1,0.82,0.73,0.7534135326692254,0.681393084846155,0.4687689775701009
78,10000_10_0.6000000000000001,0.11943910594199711,0.1,1.39,1.0,0.6817040383831112,0.6935867640134918,0.4380802130803198
79,10000_10_0.7000000000000001,0.13465426832047347,0.12,2.21,1.42,0.612068465810972,0.6880254715496885,0.4127898693043445
80,10000_10_0.8,0.1579392047654154,0.11,2.96,1.87,0.5820835519728484,0.773587901880717,0.36417223658288617
81,10000_11_0.0,0.011670531563390242,0.07,-0.02,0.01,0.3631053603276551,0.21394385440196917,0.6302569621117223
82,10000_11_0.1,0.029660502835961933,0.07,-0.01,0.0,0.6543439090484876,0.2970109233112056,0.6339005049917655
83,10000_11_0.2,0.04719851801976726,0.08,-0.01,0.0,0.8078923194116027,0.43587062383765596,0.5891360069499093
84,10000_11_0.30000000000000004,0.06510157477386996,0.08,-0.03,0.01,0.8353495617813955,0.5624069285657438,0.537753737569993
85,10000_11_0.4,0.08077136500387123,0.08,0.39,0.54,0.7988994332325268,0.6427511172050497,0.49589478251959673
